period,year,month_num,month_name,month_label,type1_attendances,type2_attendances,type3_attendances,total_attendances,emerg_admissions_type1,emerg_admissions_type2,emerg_admissions_type3,total_emerg_admissions,type1_within_4hrs,type1_over_4hrs,total_within_4hrs,total_over_4hrs,total_4hr_denominator,pct_within_4hrs
2012-06-01,2012,6,June,Jun 2012,1222084,53957,611800,1887841,306005,2613,2388,311006,1161693.0,60392.0,1826402.0,61439.0,1887841.0,96.7
2012-07-01,2012,7,July,Jul 2012,1248953,55392,620178,1924523,316143,2751,2384,321279,1193640.0,55313.0,1868090.0,56434.0,1924524.0,97.1
2012-08-01,2012,8,August,Aug 2012,1197384,52905,594854,1845142,305791,2516,2373,310680,1143645.0,53739.0,1790535.0,54607.0,1845142.0,97.0
2012-09-01,2012,9,September,Sep 2012,1178361,51526,558604,1788491,303417,2546,2279,308242,1120087.0,58274.0,1729381.0,59110.0,1788491.0,96.7
2012-10-01,2012,10,October,Oct 2012,1214433,53423,564448,1832304,317919,2652,2439,323011,1146459.0,67975.0,1763436.0,68868.0,1832304.0,96.2
2012-11-01,2012,11,November,Nov 2012,1167908,51805,535892,1755605,309441,2798,2251,314490,1098824.0,69084.0,1685591.0,70014.0,1755605.0,96.0
2012-12-01,2012,12,December,Dec 2012,1202080,47553,572792,1822426,326829,1288,2424,330541,1106158.0,95922.0,1725239.0,97187.0,1822426.0,94.7
2013-01-01,2013,1,January,Jan 2013,1149837,49518,533763,1733118,316171,1067,2311,319548,1056300.0,93537.0,1638557.0,94561.0,1733118.0,94.5
2013-02-01,2013,2,February,Feb 2013,1085333,48970,514445,1648748,290544,1130,2222,293896,992426.0,92907.0,1554636.0,94112.0,1648748.0,94.3
2013-03-01,2013,3,March,Mar 2013,1226196,54219,584669,1865084,326673,1336,2441,330450,1106666.0,119531.0,1744089.0,120995.0,1865084.0,93.5
2013-04-01,2013,4,April,Apr 2013,1199089,54306,578025,1831420,309033,1252,2379,312664,1080364.0,118725.0,1711299.0,120122.0,1831421.0,93.4
2013-05-01,2013,5,May,May 2013,1229747,54729,607194,1891670,316072,1317,2376,319764,1166193.0,63555.0,1826847.0,64823.0,1891670.0,96.6
2013-06-01,2013,6,June,Jun 2013,1191352,54589,585094,1831036,304051,1219,2318,307589,1136079.0,55273.0,1774696.0,56340.0,1831036.0,96.9
2013-07-01,2013,7,July,Jul 2013,1281700,55536,639053,1976289,318790,1399,2280,322470,1217422.0,64277.0,1910700.0,65589.0,1976289.0,96.7
2013-08-01,2013,8,August,Aug 2013,1189671,53239,597681,1840591,309887,1298,2262,313448,1122312.0,67359.0,1772195.0,68396.0,1840591.0,96.3
2013-09-01,2013,9,September,Sep 2013,1156569,52312,559868,1768749,307638,1298,2145,311081,1082967.0,73602.0,1694205.0,74544.0,1768749.0,95.8
2013-10-01,2013,10,October,Oct 2013,1199259,52705,577465,1829429,322015,1332,2275,325621,1121110.0,78148.0,1750179.0,79250.0,1829429.0,95.7
2013-11-01,2013,11,November,Nov 2013,1139112,50631,543294,1733037,315374,1391,2161,318927,1069367.0,69745.0,1662255.0,70781.0,1733036.0,95.9
2013-12-01,2013,12,December,Dec 2013,1172011,47809,562209,1782029,333324,1491,2655,337470,1088947.0,83064.0,1697980.0,84049.0,1782029.0,95.3
2014-01-01,2014,1,January,Jan 2014,1142284,51060,546196,1739539,328887,1240,2436,332563,1059249.0,83034.0,1655543.0,83996.0,1739539.0,95.2
2014-02-01,2014,2,February,Feb 2014,1084744,47705,529366,1661814,302575,1163,2247,305984,996820.0,87924.0,1572713.0,89101.0,1661814.0,94.6
2014-03-01,2014,3,March,Mar 2014,1269436,55798,632107,1957341,336284,1346,2361,339992,1185253.0,84183.0,1871512.0,85829.0,1957341.0,95.6
2014-04-01,2014,4,April,Apr 2014,1213066,52034,612576,1877676,326337,1319,2415,330071,1125630.0,87436.0,1788719.0,88957.0,1877676.0,95.3
